issue_id,question,status,evidence,conclusion,next_action,opening_blocker
contract_cross_rank,project_71s_vs_daft_native_11s_is_performance_gap,explained_by_boundary_not_rankable,project_arrival_span=66.875s_and_Daft_full_manifest_is_visible_before_collect_timer,60.18s_gap_is_not_a_project_execution_overhead,run_project_eager_only_if_offline_capacity_is_the_question,false
static_credit_shortage,current_project_KW_causes_71s,ruled_out_for_current_short,full_vs_half_JCT_delta=-0.0027pct_and_P99_delta=-0.0133pct,K128_W65536_or_half_is_not_the_current_cause,do_not_scan_K256_K512_before_same_replay_gap,false
long_competition,long_job_hurts_existing_short,confirmed,static_JCT=+3.79pct_P99=+90.80pct_work_rate=-3.57pct;shared_JCT=+8.95pct_P99=+173.33pct_work_rate=-8.28pct,long_competition_changes_short_tail_and_completion,retain_as_multi_job_motivation,false
shared_optimal,shared_work_is_unconditionally_better,rejected,aggregate_tps=+21.03pct_and_long_JCT=-18.31pct_but_short_JCT=+4.98pct_and_Jain=0.759_to_0.707,current_shared_objective_trades_isolation_for_efficiency,add_per_job_floor_cap_or_SLO_fairness_guard_as_candidate_after_opening,false
single_short_underfeed,project_single_short_is_vLLM_capacity_test,rejected,running=26.10_waiting=0_KV=2.98pct_MFU=6.63pct_with_request_replay,it_is_arrival_limited_online_replay_not_offline_capacity,measure_offline_capacity_in_separate_track,false
waiting_signal,vLLM_waiting_alone_is_enough_for_control,rejected,project_waiting_near_zero_while_long_increases_P99_and_reduces_short_work_rate,service_waiting_misses_upstream_or_per_job_pressure,observe_available_admitted_remaining_work_and_tail,false
project_internal_overhead,Ray_actor_token_budget_or_flush_is_the_project_slowdown,partially_resolved,project_nonservice_request_overhead_mean=81.4ms_and_arrival_span=93.87pct_of_JCT,current_71s_is_not_evidence_of_large_internal_overhead_but_eager_capacity_remains_unmeasured,run_project_eager_before_changing_code_then_add_bounded_eager_only_if_underfed,false
impact_window,long_influence_start_and_duration_are_known,confirmed,long_launch_at_about_5s_and_measured_overlap_static=68.94s_shared=72.62s,long_exposure_window_is_distinct_from_added_JCT,report_both_overlap_and_added_JCT,false
native_request_tail,native_short_request_P99_is_known,unavailable,native_adapter_only_records_job_barrier_JCT,do_not_invent_native_request_tail,add_vendor_boundary_request_trace_only_if_paper_claim_requires_it,false
phase_mfu,project_pre_vs_overlap_MFU_is_known,unavailable,no_interval_FLOPs_counter,whole_run_MFU_cannot_be_used_as_phase_MFU,retain_running_waiting_KV_GPU_util_phase_state,false
foreground_guard,current_shared_arm_protects_foreground_short,rejected,shared_vs_static_short_JCT=+4.98pct_and_Jain_decreases,work_conservation_alone_is_not_a_complete_multi_job_policy,test_explicit_isolation_fairness_or_SLO_guard_after_opening,false
